Threshold,Completeness,Succinctness,F-Score
0.522,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.523,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.524,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.525,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.526,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.527,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.528,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.529,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.53,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.531,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.532,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.533,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.534,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.535,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.536,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.537,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.538,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.539,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.54,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.541,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.542,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.543,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.544,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.545,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.546,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.547,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.548,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.549,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.55,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.551,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.552,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.553,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.554,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.555,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.556,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.557,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.558,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.559,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.56,0.7333333333333333,0.3333333333333333,0.45833333333333326
0.561,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.562,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.563,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.564,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.565,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.566,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.567,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.568,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.569,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.57,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.571,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.572,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.573,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.574,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.575,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.576,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.577,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.578,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.579,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.58,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.581,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.582,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.583,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.584,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.585,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.586,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.587,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.588,0.6,0.3333333333333333,0.42857142857142855
0.589,0.6,0.3333333333333333,0.42857142857142855
0.59,0.5333333333333333,1.0,0.6956521739130436
0.591,0.5333333333333333,1.0,0.6956521739130436
0.592,0.5333333333333333,1.0,0.6956521739130436
0.593,0.5333333333333333,1.0,0.6956521739130436
0.594,0.5333333333333333,1.0,0.6956521739130436
0.595,0.5333333333333333,1.0,0.6956521739130436
0.596,0.5333333333333333,1.0,0.6956521739130436
0.597,0.5333333333333333,1.0,0.6956521739130436
0.598,0.5333333333333333,1.0,0.6956521739130436
0.599,0.5333333333333333,1.0,0.6956521739130436
0.6,0.5333333333333333,1.0,0.6956521739130436
0.601,0.5333333333333333,1.0,0.6956521739130436
0.602,0.5333333333333333,1.0,0.6956521739130436
0.603,0.5333333333333333,1.0,0.6956521739130436
0.604,0.4666666666666667,1.0,0.6363636363636364
0.605,0.4666666666666667,1.0,0.6363636363636364
0.606,0.4666666666666667,1.0,0.6363636363636364
0.607,0.4666666666666667,1.0,0.6363636363636364
0.608,0.4,1.0,0.5714285714285715
0.609,0.4,1.0,0.5714285714285715
0.61,0.4,1.0,0.5714285714285715
0.611,0.3333333333333333,1.0,0.5
0.612,0.3333333333333333,1.0,0.5
0.613,0.3333333333333333,1.0,0.5
0.614,0.3333333333333333,1.0,0.5
0.615,0.3333333333333333,1.0,0.5
0.616,0.3333333333333333,1.0,0.5
0.617,0.3333333333333333,1.0,0.5
0.618,0.3333333333333333,1.0,0.5
0.619,0.3333333333333333,1.0,0.5
0.62,0.3333333333333333,1.0,0.5
0.621,0.3333333333333333,1.0,0.5
0.622,0.3333333333333333,1.0,0.5
0.623,0.3333333333333333,1.0,0.5
0.624,0.3333333333333333,1.0,0.5
0.625,0.3333333333333333,1.0,0.5
0.626,0.3333333333333333,1.0,0.5
0.627,0.3333333333333333,1.0,0.5
0.628,0.3333333333333333,1.0,0.5
0.629,0.3333333333333333,1.0,0.5
0.63,0.3333333333333333,1.0,0.5
